Year Completed,Status,Job Number,Sector,Job Name,Contractor,Project Address,State,Latitude,Longitude,Link
2016,Complete,AUZUS0041,Healthcare,Excel ER - Longview,Z Constructors,"120 E Loop 281, Longview, TX 75605",Texas,32.54134397,-94.74237118,
2022,Complete,AUZUS0153,Healthcare,Children's MOB,Z Constructors,"1300 Childrens Way Prosper, TX 75078",Texas,33.22054112,-96.82377122,
2016,Complete,AUZUS0040,Healthcare,Excel ER - Nacodoches,Z Constructors,"1420 North St, Nacogdoches, TX 75961",Texas,31.61522179,-94.65206384,
2020,Complete,AUZUS0145,Healthcare,HMCL,HOAR Construction,"18123 Upper Bay Rd Houston TX, 77058",Texas,29.54940626,-95.08831336,
2025,Complete,AUZUS0214,Healthcare,CNMC Surgery Addition,Manhattan Construction Company,"1921 Stone Cipher Blvd., Ada, OK 74820",Oklahoma,34.73115241,-96.64536622,
2019,Complete,AUZUS0108,Healthcare,Ambulatory Surgery Center McKinney,Z Constructors,215 Dogwood Trail McKinney TX 75071,Texas,33.19783295,-96.64985348,https://www.auzmet.com/wellnessambulatorysurgerycenter
2016,Complete,AUZUS0035,Healthcare,Excel ER - Texarkana,Z Constructors,4102 Gibson Ln Texarkana TX 75703,Texas,33.459643,-94.094283,
2016,Complete,AUZUS0025,Healthcare,CODE 3M,Z Constructors,4228 N Josey Ln Carrolton TX 75010,Texas,33.02656,-96.884004,
2025,Complete,AUZUS0246,Healthcare,Demo Former Parkland Metal Package,Beck,"5200 Harry Hines Blvd, Dallas, TX 75235",Texas,32.81318574,-96.83556714,
2019,Complete,AUZUS0099,Healthcare,Mckinney HIH (Baylor Medical Center),Medco Construction,5252 University Dr McKinney TX 77071,Texas,33.2208769,-96.6823235,https://www.auzmet.com/baylor-medical-center
2016,Complete,AUZUS0023,Healthcare,NORMAN REG HEALTH SYSTEM,Flintco Constructive Solutions,700 S Telephone RD Moore OK 73160,Oklahoma,35.332328,-97.493487,
2015,Complete,AUZUS0001,Healthcare,PINNACLE ER HURST,Z Constructors,"824 Airport Freeway. Hurst, TX 76054",Texas,32.839999,-97.188109,
2017,Complete,AUZUS0083,Healthcare,Texas Scottish (Fabrication Project),Oakcliff Mirror and Glass,1444 N Cockrell Hill Rd Dallas TX 75211,Fabrication Project,32.76163048,-96.89351483,
2020,Complete,AUZUS0149,Healthcare,THR Surgery (Fabrication Project),Oakcliff Mirror and Glass,1444 N Cockrell Hill Rd Dallas TX 75211,Fabrication Project,32.76163048,-96.89351483,
2021,Complete,AUZUS0131,Hospitality,Omni Hotel,Brasfield & Gorrie,100 Oklahoma City Blvd OKC OK 73109,Oklahoma,35.4616165,-97.51565996,
2017,Complete,AUZUS0061,Hospitality,Hampton Inn & Suites,Weis Builders,1005 Commerce St Fort Worth TX 76102,Texas,32.75165306,-97.32766473,https://www.auzmet.com/hampton-inn-suites
2022,Complete,AUZUS0163,Hospitality,Intercontinental at City Place,Brasfield & Gorrie - Dal,"2711 N Haskell Dallas, TX 75204",Texas,32.80548988,-96.79258452,
2019,Complete,AUZUS0109,Hospitality,HG Supply,Z Constructors,3090 Olive St Dallas TX 75070,Texas,32.7894175,-96.80914199,
2022,Complete,AUZUS0169,Hospitality,Crescent Fort Worth Hotel,Andres Construction,"3300 Camp Bowie Blvd Ft Worth, TX 76107",Texas,32.75006214,-97.36510446,
In Progress,Active,AUZUS0293,Hospitality,ALBA Palm Beach,MOSS,4714 N. Flagler Dr. West Palm Beach FL 33407,Florida,26.75404318,-80.05218499,
2020,Complete,AUZUS0142,Hospitality,Residence Inn (Waterside),Weis Builders,5825 Arborlawn Dr Fort Worth TX 76109,Texas,32.69816383,-97.41450664,
2016,Complete,AUZUS0046,Hospitality,Renaissance Louvres,Brasfield & Gorrie,6007 Legacy Dr. Plano TX 75024,Texas,33.07869468,-96.8269194,
2019,Complete,AUZUS0117,Hospitality,Warrior Hotel,BSI Constructors,6th & Nebraska St Sioux Iowa 51101,Iowa,42.4963462,-96.40346735,
2025,Complete,AUZUS0229,Hospitality,Saracen Hotel and Event Center - Phase 1,Flintco,"1 Saracen Resort Drive  Pine Bluff, AR 716010",Arkansas,34.20992217,-91.96291107,
2016,Complete,AUZUS0026,Hospitality,Adolphos Hotel,Reynolds Specialty Products LLC,1321 Commerce St Dallas TX 75202,Texas,32.77998,-96.799858,
2017,Complete,AUZUS0068,Industrial,DCT - Miller RD,Structure Tone - Dallas,10930 Miller Rd Garland TX 75238,Texas,32.89445657,-96.6951828,
2016,Complete,AUZUS0028,Industrial,DCT FREEPORT,FCL Builders,1204 W Bethel Rd. Coppell TX. 75019,Texas,32.955869,-97.030765,https://www.auzmet.com/dct-freeport
2022,Complete,AUZUS0178,Industrial,Alliance Center East,Hilllwood Construction Services,"13650 N Freeway FT Worth, TX 76177",Texas,32.97942154,-97.30664913,https://www.auzmet.com/alliance-center-east
2024,Complete,AUZUS0236,Industrial,Alliance Center East 1 - Target TI,Hillwood Construction Services,"13750 N. Fwy
Ft. Worth, TX 76177",Texas,32.97749432,-97.30514257,https://www.auzmet.com/alliance-center-east
2023,Complete,AUZUS0186,Industrial,Alliance Center North 8,Hilllwood Construction Services,"15350 N Beach St. Fort Worth, TX 76177",Texas,33.00649094,-97.28115726,
2023,Complete,AUZUS0181,Industrial,Alliance Center North 9,Hilllwood Construction Services,"15350 N Beach St. Fort Worth, TX 76177",Texas,33.00649094,-97.28115726,
2016,Complete,AUZUS0044,Industrial,Riverbend west distribution,EMJ Construction,2101 Reeves Place Ft Worth TX 76118,Texas,32.79008516,-97.22585826,
2024,Complete,AUZUS0231,Industrial,Alliance Center East 2,Hillwood Construction Services,"2601 Spirit Drive
                Fort Worth, TX 76177",Texas,32.97772634,-97.30652611,https://www.auzmet.com/alliance-center-east
2024,Complete,AUZUS0232,Industrial,Alliance Center East 3,Hillwood Construction Services,"2701 Spirit Drive
                Fort Worth, TX 76177",Texas,32.97834519,-97.30121055,https://www.auzmet.com/alliance-center-east
2016,Complete,AUZUS0053,Industrial,Trinity Crossing,The Conlan Company,3100 Roy Orr Blvd Grand Prarie TX 75050,Texas,32.80049098,-97.02975518,
2023,Complete,AUZUS0185,Industrial,Core 5 Logistics Center,Cadence McShane,"3827 N McDonald St. Mckinney, TX 75248",Texas,33.23688263,-96.61186858,
In Progress,Active,AUZUS0294,Industrial,Trinity Mills Lease Space,SCI Construction,4460 Trinity Mills Rd. Dallas TX 75287,Texas,32.98952532,-96.83120688,
2025,Complete,AUZUS0240,Industrial,Dallas College MVC,Cadence McShane Construction,"4849 W. Illinois Ave, Dallas, TX 75211",Texas,32.72821149,-96.90580954,
2016,Complete,AUZUS0029,Industrial,DCT WATERS RIDGE,FCL Builders,514 Bennett Ln Lewisville TX. 75057,Texas,33.02494,-96.984742,https://www.auzmet.com/dct-waters-edge
2023,Complete,AUZUS0180,Industrial,Hillwood Commons II,Hilllwood Construction Services,"9900 Hillwood PKWY Fort Worth, TX76177",Texas,32.92014061,-97.31194399,
2022,Complete,AUZUS0156,Industrial,El Paso Logistics Park (Fabrication Project),Admiral Roofing,1444 N Cockrell Hill Rd Dallas TX 75211,Fabrication Project,32.76163066,-96.89351427,
2023,Complete,AUZUS0187,Industrial,El Paso Logistics Park Phase 2 (Fabrication Project),Commercial Roofing Systems Inc.,1444 N Cockrell Hill Rd Dallas TX 75211,Fabrication Project,32.76163066,-96.89351427,
2022,Complete,AUZUS0154,Industrial,Amazon Distrubution Facility 5,Hilllwood Construction Services,"Litsey Rd and N. Beach St Ft Worth, TX 76177",Texas,33.00905431,-97.27937289,https://www.auzmet.com/amazon-ddf5
2022,Complete,AUZUS0155,Industrial,Amazon Distrubution Facility 6,Hilllwood Construction Services,RISENGER Rd and Old Burleson Rd TX 76140,Texas,32.61385725,-97.31702815,https://www.auzmet.com/amazon-ddf6
